room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
7902889,1430,4261846,Shared room,,San Francisco,,South of Market,104,5.0,1,1.0,,75.0,,2017-07-10 23:43:20.467822,37.78594,-122.394088,0101000020E6100000BFEFDFBC38995EC0224F92AE99E44240
12857179,1430,329072,Shared room,,San Francisco,,Financial District,17,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.078193,37.794714,-122.403286,0101000020E6100000D13B1570CF995EC030D63730B9E54240
786492,1430,329072,Shared room,,San Francisco,,Financial District,76,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.075624,37.794208,-122.403105,0101000020E6100000A9F6E978CC995EC05C1C959BA8E54240
10070717,1430,51673718,Shared room,,San Francisco,,Visitacion Valley,20,4.5,1,1.0,,45.0,,2017-07-10 23:43:18.073736,37.713016,-122.413767,0101000020E6100000804A95287B9A5EC02BC3B81B44DB4240
229240,1430,329072,Shared room,,San Francisco,,Financial District,204,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.071464,37.793414,-122.403399,0101000020E61000004D0F0A4AD1995EC0221807978EE54240
12853799,1430,329072,Shared room,,San Francisco,,Financial District,25,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.068858,37.793477,-122.40335,0101000020E6100000DDB5847CD0995EC0699082A790E54240
12857011,1430,329072,Shared room,,San Francisco,,Financial District,13,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.065897,37.793246,-122.403262,0101000020E61000000D6E6B0BCF995EC067D7BD1589E54240
12857087,1430,329072,Shared room,,San Francisco,,Financial District,14,4.5,4,1.0,,45.0,,2017-07-10 23:43:18.060853,37.794541,-122.403149,0101000020E6100000919A7631CD995EC0632AFD84B3E54240
4464347,1430,22931450,Shared room,,San Francisco,,North Beach,164,4.5,4,1.0,,42.0,,2017-07-10 23:43:16.576625,37.798914,-122.406113,0101000020E6100000C05E61C1FD995EC085285FD042E64240
10070425,1430,51673718,Shared room,,San Francisco,,Visitacion Valley,23,4.5,1,1.0,,45.0,,2017-07-10 23:43:16.568166,37.714797,-122.413706,0101000020E61000002D0ABB287A9A5EC0B323D5777EDB4240
241235,1430,329072,Shared room,,San Francisco,,Financial District,199,4.5,4,1.0,,45.0,,2017-07-10 23:43:16.563913,37.792708,-122.403826,0101000020E610000091D10149D8995EC087A3AB7477E54240
5196399,1430,23278,Shared room,,San Francisco,,Mission,128,5.0,1,1.0,,49.0,,2017-07-10 23:43:16.559202,37.756869,-122.414603,0101000020E6100000B47405DB889A5EC0992D5915E1E04240
4890230,1430,22931450,Shared room,,San Francisco,,North Beach,105,4.5,4,1.0,,47.0,,2017-07-10 23:43:16.556365,37.798751,-122.404756,0101000020E610000007B7B585E7995EC0DB5207793DE64240
10070413,1430,51673718,Shared room,,San Francisco,,Visitacion Valley,15,4.5,1,1.0,,45.0,,2017-07-10 23:43:16.552139,37.714033,-122.413627,0101000020E6100000876F61DD789A5EC0E4A1EF6E65DB4240
15009918,1430,5215966,Shared room,,San Francisco,,Outer Sunset,14,4.5,1,1.0,,45.0,,2017-07-10 23:43:16.546749,37.754143,-122.493243,0101000020E6100000C87E164B919F5EC0F0C000C287E04240
72444,1430,329072,Shared room,,San Francisco,,Financial District,198,4.5,4,1.0,,45.0,,2017-07-10 23:43:16.543642,37.793088,-122.404431,0101000020E6100000459F8F32E2995EC0CE6C57E883E54240
4519780,1430,22931450,Shared room,,San Francisco,,North Beach,130,4.5,4,1.0,,43.0,,2017-07-10 23:43:16.540581,37.798829,-122.404739,0101000020E61000009C1A683EE7995EC0560C570740E64240
8763366,1430,23278,Shared room,,San Francisco,,Mission,87,5.0,1,1.0,,49.0,,2017-07-10 23:43:16.536762,37.758301,-122.4128,0101000020E61000007CF2B0506B9A5EC016C3D50110E14240
12274606,1430,3838854,Shared room,,San Francisco,,Western Addition,0,0.0,1,1.0,,60.0,,2017-07-10 23:43:16.533707,37.776374,-122.432864,0101000020E610000068E7340BB49B5EC07BBB253960E34240
12253023,1430,5164455,Shared room,,San Francisco,,Pacific Heights,0,0.0,1,1.0,,60.0,,2017-07-10 23:43:15.620011,37.795361,-122.427044,0101000020E6100000FE7C5BB0549B5EC0C6C1A563CEE54240
14011529,1430,61907533,Shared room,,San Francisco,,Mission,1,0.0,2,1.0,,50.0,,2017-07-10 23:43:15.612908,37.760662,-122.420827,0101000020E610000086915ED4EE9A5EC0ADA7565F5DE14240
17846929,1430,21697127,Shared room,,San Francisco,,South of Market,1,0.0,4,1.0,,55.0,,2017-07-10 23:43:15.610262,37.772884,-122.392331,0101000020E61000003F8D7BF31B995EC003CDE7DCEDE24240
7746463,1430,5697150,Shared room,,San Francisco,,Mission,3,5.0,1,1.0,,49.0,,2017-07-10 23:43:15.604835,37.759037,-122.418827,0101000020E6100000A2EBC20FCE9A5EC01BBAD91F28E14240
10888070,1430,28976328,Shared room,,San Francisco,,Downtown/Civic Center,4,5.0,1,1.0,,60.0,,2017-07-10 23:43:15.601173,37.779587,-122.421343,0101000020E61000008159A148F79A5EC081B1BE81C9E34240
17371171,1430,36997746,Shared room,,San Francisco,,Outer Sunset,9,5.0,1,1.0,,52.0,,2017-07-10 23:43:15.598551,37.751359,-122.477392,0101000020E6100000CFD72C978D9E5EC013471E882CE04240
6822747,1430,2711732,Shared room,,San Francisco,,Castro/Upper Market,71,5.0,2,1.0,,55.0,,2017-07-10 23:43:15.595721,37.768191,-122.439228,0101000020E610000033DFC14F1C9C5EC0700A2B1554E24240
15204367,1430,5215966,Shared room,,San Francisco,,Outer Sunset,36,5.0,1,1.0,,47.0,,2017-07-10 23:43:15.591038,37.756345,-122.492647,0101000020E61000003E5E4887879F5EC01FBFB7E9CFE04240
10491563,1430,48920457,Shared room,,San Francisco,,Financial District,5,5.0,1,1.0,,42.0,,2017-07-10 23:43:15.588406,37.784274,-122.398482,0101000020E6100000DC82A5BA80995EC0338D261763E44240
259621,1430,329072,Shared room,,San Francisco,,Financial District,98,4.5,4,1.0,,45.0,,2017-07-10 23:43:15.585788,37.794697,-122.403737,0101000020E6100000DACBB6D3D6995EC05A9D9CA1B8E54240
18567322,1430,128905277,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-07-10 23:43:15.583670,37.777029,-122.41555,0101000020E610000094F6065F989A5EC09485AFAF75E34240
18737881,1430,130035283,Shared room,,San Francisco,,Haight Ashbury,0,0.0,1,1.0,,45.0,,2017-07-10 23:43:15.581432,37.768954,-122.448838,0101000020E6100000EECC04C3B99C5EC06F10AD156DE24240
13342697,1430,11078389,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-07-10 23:43:15.575546,37.780189,-122.405091,0101000020E6100000DA39CD02ED995EC077D9AF3BDDE34240
19644702,1430,9231945,Shared room,,San Francisco,,Downtown/Civic Center,0,0.0,2,1.0,,54.0,,2017-07-10 23:43:13.911186,37.788451,-122.412127,0101000020E61000001CB3EC49609A5EC0CFBF5DF6EBE44240
19034252,1430,119355432,Shared room,,San Francisco,,South of Market,0,0.0,1,1.0,,50.0,,2017-07-10 23:43:13.909115,37.779597,-122.397261,0101000020E61000007BBE66B96C995EC0A587A1D5C9E34240
19034998,1430,43831356,Shared room,,San Francisco,,Bayview,3,5.0,1,1.0,,45.0,,2017-07-10 23:43:13.906860,37.725597,-122.394861,0101000020E6100000D15D126745995EC0B189CC5CE0DC4240
